Time used gen_solv: 0.000314
Time used Special_solv: 0.000193
v:                 v_:
     0.10028336          0.10028336
     0.10107066          0.10107066
     0.10185707          0.10185707
      0.1026426           0.1026426
     0.10342724          0.10342724
       0.104211            0.104211
     0.10499388          0.10499388
     0.10577587          0.10577587
     0.10655698          0.10655698
     0.10733721          0.10733721
     0.10811656          0.10811656
     0.10889504          0.10889504
     0.10967263          0.10967263
     0.11044935          0.11044935
     0.11122519          0.11122519
     0.11200016          0.11200016
     0.11277425          0.11277425
     0.11354747          0.11354747
     0.11431981          0.11431981
     0.11509128          0.11509128
     0.11586189          0.11586189
     0.11663162          0.11663162
     0.11740048          0.11740048
     0.11816848          0.11816848
     0.11893561          0.11893561
     0.11970187          0.11970187
     0.12046726          0.12046726
     0.12123179          0.12123179
     0.12199546          0.12199546
     0.12275826          0.12275826
      0.1235202           0.1235202
     0.12428128          0.12428128
      0.1250415           0.1250415
     0.12580086          0.12580086
     0.12655936          0.12655936
     0.12731701          0.12731701
     0.12807379          0.12807379
     0.12882972          0.12882972
      0.1295848           0.1295848
     0.13033901          0.13033901
     0.13109238          0.13109238
     0.13184489          0.13184489
     0.13259655          0.13259655
     0.13334736          0.13334736
     0.13409732          0.13409732
     0.13484643          0.13484643
     0.13559469          0.13559469
     0.13634211          0.13634211
     0.13708867          0.13708867
      0.1378344           0.1378344
     0.13857927          0.13857927
      0.1393233           0.1393233
     0.14006649          0.14006649
     0.14080884          0.14080884
     0.14155034          0.14155034
       0.142291            0.142291
     0.14303082          0.14303082
     0.14376981          0.14376981
     0.14450795          0.14450795
     0.14524526          0.14524526
     0.14598173          0.14598173
     0.14671736          0.14671736
     0.14745216          0.14745216
     0.14818612          0.14818612
     0.14891925          0.14891925
     0.14965155          0.14965155
     0.15038302          0.15038302
     0.15111365          0.15111365
     0.15184346          0.15184346
     0.15257244          0.15257244
     0.15330058          0.15330058
      0.1540279           0.1540279
      0.1547544           0.1547544
     0.15548007          0.15548007
     0.15620491          0.15620491
     0.15692893          0.15692893
     0.15765212          0.15765212
     0.15837449          0.15837449
     0.15909604          0.15909604
     0.15981677          0.15981677
     0.16053668          0.16053668
     0.16125577          0.16125577
     0.16197404          0.16197404
     0.16269149          0.16269149
     0.16340813          0.16340813
     0.16412395          0.16412395
     0.16483895          0.16483895
     0.16555314          0.16555314
     0.16626652          0.16626652
     0.16697908          0.16697908
     0.16769083          0.16769083
     0.16840177          0.16840177
      0.1691119           0.1691119
     0.16982122          0.16982122
     0.17052973          0.17052973
     0.17123744          0.17123744
     0.17194433          0.17194433
     0.17265042          0.17265042
     0.17335571          0.17335571
     0.17406018          0.17406018
     0.17476386          0.17476386
     0.17546673          0.17546673
      0.1761688           0.1761688
     0.17687007          0.17687007
     0.17757054          0.17757054
      0.1782702           0.1782702
     0.17896907          0.17896907
     0.17966714          0.17966714
     0.18036441          0.18036441
     0.18106089          0.18106089
     0.18175657          0.18175657
     0.18245145          0.18245145
     0.18314554          0.18314554
     0.18383884          0.18383884
     0.18453134          0.18453134
     0.18522305          0.18522305
     0.18591397          0.18591397
      0.1866041           0.1866041
     0.18729344          0.18729344
       0.187982            0.187982
     0.18866976          0.18866976
     0.18935673          0.18935673
     0.19004292          0.19004292
     0.19072833          0.19072833
     0.19141295          0.19141295
     0.19209678          0.19209678
     0.19277983          0.19277983
      0.1934621           0.1934621
     0.19414359          0.19414359
     0.19482429          0.19482429
     0.19550422          0.19550422
     0.19618337          0.19618337
     0.19686173          0.19686173
     0.19753932          0.19753932
     0.19821614          0.19821614
     0.19889217          0.19889217
     0.19956743          0.19956743
     0.20024192          0.20024192
     0.20091563          0.20091563
     0.20158857          0.20158857
     0.20226074          0.20226074
     0.20293213          0.20293213
     0.20360276          0.20360276
     0.20427261          0.20427261
     0.20494169          0.20494169
     0.20561001          0.20561001
     0.20627756          0.20627756
     0.20694434          0.20694434
     0.20761035          0.20761035
      0.2082756           0.2082756
     0.20894008          0.20894008
      0.2096038           0.2096038
     0.21026676          0.21026676
     0.21092896          0.21092896
     0.21159039          0.21159039
     0.21225106          0.21225106
     0.21291097          0.21291097
     0.21357012          0.21357012
     0.21422852          0.21422852
     0.21488615          0.21488615
     0.21554303          0.21554303
     0.21619915          0.21619915
     0.21685452          0.21685452
     0.21750913          0.21750913
     0.21816299          0.21816299
     0.21881609          0.21881609
     0.21946844          0.21946844
     0.22012004          0.22012004
     0.22077089          0.22077089
     0.22142099          0.22142099
     0.22207033          0.22207033
     0.22271893          0.22271893
     0.22336678          0.22336678
     0.22401389          0.22401389
